--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        5.869K         4.893K        |   261   39.3      0    0.0   42.8 
        7.937K         4.893K        |   262   39.5      0    0.0   43.0 
        3.492K         4.893K        |   263   39.7      0    0.0   43.2 
        5.063K         4.892K        |   264   39.8      0    0.0   43.3 
        5.060K         4.892K        |   265   40.0      0    0.0   43.5 
        5.489K         4.892K        |   266   40.2      0    0.0   43.7 
        5.259K         4.892K        |   267   40.4      0    0.0   43.9 
        5.079K         4.892K        |   268   40.5      0    0.0   44.0 
        2.565K         4.892K        |   269   40.7      0    0.0   44.2 
        4.458K         4.892K        |   270   40.9      0    0.0   44.4 
        4.528K         4.892K        |   271   41.0      0    0.0   44.6 
        6.339K         4.892K        |   272   41.2      0    0.0   44.7 
        4.213K         4.892K        |   273   41.4      0    0.0   44.9 
        2.993K         4.891K        |   274   41.6      0    0.0   45.1 
        7.583K         4.891K        |   275   41.8      0    0.0   45.3 
        2.643K         4.891K        |   276   41.9      0    0.0   45.4 
        5.006K         4.891K        |   277   42.1      0    0.0   45.6 
        3.343K         4.891K        |   278   42.3      0    0.0   45.8 
        2.575K         4.891K        |   279   42.5      0    0.0   46.0 
        6.442K         4.891K        |   280   42.7      0    0.0   46.2 
        3.945K         4.890K        |   281   42.8      0    0.0   46.4 
        4.884K         4.890K        |   282   43.0      0    0.0   46.5 
        3.569K         4.890K        |   283   43.2      0    0.0   46.7 
        2.851K         4.890K        |   284   43.4      0    0.0   46.9 
        5.584K         4.890K        |   285   43.6      0    0.0   47.1 
        5.127K         4.890K        |   286   43.8      0    0.0   47.3 
        3.719K         4.890K        |   287   44.0      0    0.0   47.5 
        6.453K         4.889K        |   288   44.1      0    0.0   47.7 
        4.975K         4.889K        |   289   44.3      0    0.0   47.9 
        5.120K         4.889K        |   290   44.5      0    0.0   48.1 
        3.758K         4.889K        |   291   44.7      0    0.0   48.2 
        5.877K         4.889K        |   292   44.9      0    0.0   48.4 
        4.996K         4.889K        |   293   45.1      0    0.0   48.6 
        3.985K         4.889K        |   294   45.3      0    0.0   48.8 
        5.339K         4.889K        |   295   45.5      0    0.0   49.0 
        5.931K         4.889K        |   296   45.7      0    0.0   49.2 
        2.400K         4.888K        |   297   45.9      0    0.0   49.4 
        2.925K         4.888K        |   298   46.1      0    0.0   49.6 
        3.404K         4.888K        |   299   46.3      0    0.0   49.8 
        5.538K         4.888K        |   300   46.5      0    0.0   50.5 
        5.098K         4.888K        |   301   46.7      0    0.0   50.8 
        2.367K         4.888K        |   302   46.8      0    0.0   50.9 
        6.278K         4.888K        |   303   47.0      0    0.0   51.1 
        3.359K         4.888K        |   304   47.2      0    0.0   51.3 
        3.643K         4.888K        |   305   47.4      0    0.0   51.5 
        6.491K         4.888K        |   306   47.5      0    0.0   51.6 
        3.926K         4.887K        |   307   47.7      0    0.0   51.8 
        6.682K         4.887K        |   308   47.9      0    0.0   52.0 
        7.335K         4.887K        |   309   48.1      0    0.0   52.2 
        4.950K         4.887K        |   310   48.3      0    0.0   52.3 
        7.696K         4.887K        |   311   48.4      0    0.0   52.5 
        7.583K         4.887K        |   312   48.6      0    0.0   52.7 
        2.656K         4.887K        |   313   48.8      0    0.0   52.9 
        5.135K         4.887K        |   314   49.0      0    0.0   53.1 
        5.335K         4.887K        |   315   49.2      0    0.0   53.3 
        5.102K         4.887K        |   316   49.3      0    0.0   53.4 
        5.265K         4.887K        |   317   49.5      0    0.0   53.6 
        6.574K         4.887K        |   318   49.7      0    0.0   53.8 
        4.110K         4.887K        |   319   49.9      0    0.0   54.0 
