Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Station,Date(NZST),Percent(%),Depth(cm)

Evaporation (Priestley-Taylor ET)
Station,Date(NZST),Amount(mm),Period(Hrs),Type
1615,19980123:0800,3.9,24,T
1615,19980124:0800,0.9,24,T
1615,19980125:0800,3.5,24,T
1615,19980126:0800,5.4,24,T
1615,19980127:0800,5.0,24,T
1615,19980128:0800,5.4,24,T
1615,19980129:0800,4.9,24,T
1615,19980130:0800,3.7,24,T
1615,19980131:0800,3.7,24,T
1615,19980201:0800,5.4,24,T
1615,19980202:0800,5.7,24,T
1615,19980203:0800,4.8,24,T
1615,19980204:0800,5.4,24,T
1615,19980205:0800,5.5,24,T
1615,19980206:0800,5.2,24,T
1615,19980207:0800,6.1,24,T
1615,19980208:0800,4.5,24,T
1615,19980209:0800,5.7,24,T
1615,19980210:0800,4.9,24,T
1615,19980211:0800,2.1,24,T
1615,19980212:0800,3.0,24,T
1615,19980213:0800,4.7,24,T
1615,19980214:0800,3.8,24,T
1615,19980215:0800,4.3,24,T
1615,19980216:0800,5.0,24,T
1615,19980217:0800,4.7,24,T
1615,19980218:0800,3.9,24,T
1615,19980219:0800,2.0,24,T
1615,19980220:0800,2.6,24,T
1615,19980221:0800,4.6,24,T
1615,19980222:0800,1.7,24,T
1615,19980223:0800,4.4,24,T
1615,19980224:0800,2.0,24,T
1615,19980225:0800,2.7,24,T
1615,19980226:0800,3.8,24,T
1615,19980227:0800,3.1,24,T
1615,19980228:0800,4.5,24,T
1615,19980301:0800,4.5,24,T
1615,19980302:0800,3.9,24,T
1615,19980303:0800,4.1,24,T
1615,19980304:0800,4.4,24,T
1615,19980305:0800,4.2,24,T
1615,19980306:0800,3.9,24,T
1615,19980307:0800,4.5,24,T
1615,19980308:0800,4.0,24,T
1615,19980309:0800,4.4,24,T
1615,19980310:0800,4.1,24,T
1615,19980311:0800,2.5,24,T
1615,19980312:0800,2.2,24,T
1615,19980313:0800,4.2,24,T
1615,19980314:0800,0.8,24,T
1615,19980315:0900,1.6,24,T
1615,19980316:0900,2.2,24,T
1615,19980317:0900,2.5,24,T
1615,19980318:0900,2.3,24,T
1615,19980319:0900,2.2,24,T
1615,19980320:0900,3.4,24,T
1615,19980321:0900,3.1,24,T
1615,19980322:0900,3.4,24,T
1615,19980323:0900,3.4,24,T
1615,19980324:0900,1.8,24,T
1615,19980325:0900,3.4,24,T
1615,19980326:0900,2.1,24,T
1615,19980327:0900,2.4,24,T
1615,19980328:0900,3.2,24,T
1615,19980329:0900,2.3,24,T
1615,19980330:0900,1.8,24,T
1615,19980331:0900,2.6,24,T
1615,19980401:0900,2.6,24,T
1615,19980402:0900,2.4,24,T
1615,19980403:0900,1.0,24,T
1615,19980404:0900,1.7,24,T
1615,19980405:0900,2.4,24,T
1615,19980406:0900,2.3,24,T
1615,19980407:0900,2.1,24,T
1615,19980408:0900,2.1,24,T
1615,19980409:0900,1.7,24,T
1615,19980410:0900,0.6,24,T
1615,19980411:0900,1.8,24,T
1615,19980412:0900,1.5,24,T
1615,19980413:0900,1.9,24,T
1615,19980414:0900,2.4,24,T
1615,19980415:0900,2.0,24,T
1615,19980416:0900,1.0,24,T
1615,19980417:0900,1.7,24,T
1615,19980418:0900,1.6,24,T
1615,19980419:0900,2.1,24,T
1615,19980420:0900,1.1,24,T
