--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        5.054K         4.885K        |   316   91.6      0    0.0   95.7 
        5.273K         4.885K        |   317   92.0      0    0.0   96.0 
        6.579K         4.885K        |   318   92.3      0    0.0   96.4 
        4.088K         4.885K        |   319   92.7      0    0.0   96.8 
        4.842K         4.885K        |   320   93.1      0    0.0   97.1 
        4.521K         4.885K        |   321   93.4      0    0.0   97.5 
        6.305K         4.885K        |   322   93.8      0    0.0   97.9 
        3.891K         4.885K        |   323   94.2      0    0.0   98.3 
        3.979K         4.884K        |   324   94.6      0    0.0   98.7 
        3.729K         4.884K        |   325   94.9      0    0.0   99.0 
        6.145K         4.884K        |   326   95.3      0    0.0   99.4 
        6.532K         4.884K        |   327   95.7      0    0.0   99.8 
        3.733K         4.884K        |   328   96.1      0    0.0   100.2 
        3.474K         4.884K        |   329   96.4      0    0.0   100.5 
        4.457K         4.884K        |   330   96.8      0    0.0   100.9 
        6.097K         4.884K        |   331   97.2      0    0.0   101.3 
        4.854K         4.884K        |   332   97.6      0    0.0   101.7 
        3.349K         4.884K        |   333   98.0      0    0.0   102.1 
        5.349K         4.884K        |   334   98.4      0    0.0   102.5 
        3.921K         4.884K        |   335   98.8      0    0.0   102.9 
        4.167K         4.884K        |   336   99.1      0    0.0   103.3 
        3.872K         4.884K        |   337   99.5      0    0.0   103.6 
        5.728K         4.884K        |   338   99.9      0    0.0   104.0 
        3.604K         4.884K        |   339   100.3      0    0.0   104.4 
        4.636K         4.884K        |   340   100.7      0    0.0   104.8 
        5.969K         4.884K        |   341   101.1      0    0.0   105.2 
        5.826K         4.884K        |   342   101.5      0    0.0   105.6 
        3.585K         4.884K        |   343   101.9      0    0.0   106.0 
        7.491K         4.883K        |   344   102.3      0    0.0   106.5 
        4.161K         4.883K        |   345   102.7      0    0.0   106.9 
        5.430K         4.883K        |   346   103.1      0    0.0   107.3 
        2.804K         4.883K        |   347   103.5      0    0.0   107.7 
        5.273K         4.883K        |   348   103.9      0    0.0   108.1 
        2.940K         4.883K        |   349   104.3      0    0.0   108.5 
        6.167K         4.883K        |   350   104.7      0    0.0   109.4 
        3.790K         4.883K        |   351   105.2      0    0.0   109.9 
        7.839K         4.883K        |   352   105.6      0    0.0   110.2 
        3.953K         4.883K        |   353   105.9      0    0.0   110.6 
        7.170K         4.883K        |   354   106.2      0    0.0   110.9 
        6.452K         4.883K        |   355   106.5      0    0.0   111.2 
        3.905K         4.883K        |   356   106.9      0    0.0   111.6 
        3.797K         4.883K        |   357   107.2      0    0.0   111.9 
        2.705K         4.883K        |   358   107.5      0    0.0   112.2 
        7.575K         4.883K        |   359   107.9      0    0.0   112.6 
        4.234K         4.883K        |   360   108.2      0    0.0   112.9 
        6.279K         4.883K        |   361   108.6      0    0.0   113.3 
        6.658K         4.882K        |   362   108.9      0    0.0   113.6 
        6.580K         4.882K        |   363   109.3      0    0.0   113.9 
        5.002K         4.882K        |   364   109.6      0    0.0   114.3 
        4.753K         4.882K        |   365   109.9      0    0.0   114.6 
        3.942K         4.882K        |   366   110.3      0    0.0   115.0 
        4.877K         4.882K        |   367   110.6      0    0.0   115.3 
        4.109K         4.882K        |   368   111.0      0    0.0   115.7 
        4.906K         4.882K        |   369   111.3      0    0.0   116.0 
        2.964K         4.882K        |   370   111.7      0    0.0   116.4 
        2.262K         4.882K        |   371   112.1      0    0.0   116.8 
        3.804K         4.882K        |   372   112.4      0    0.0   117.1 
        3.847K         4.882K        |   373   112.8      0    0.0   117.5 
        2.467K         4.882K        |   374   113.1      0    0.0   117.8 
        4.371K         4.882K        |   375   113.5      0    0.0   118.2 
        2.819K         4.882K        |   376   113.9      0    0.0   118.6 
        6.310K         4.882K        |   377   114.2      0    0.0   119.0 
        4.690K         4.882K        |   378   114.6      0    0.0   119.3 
        6.240K         4.881K        |   379   115.0      0    0.0   119.7 
        7.461K         4.881K        |   380   115.3      0    0.0   120.1 
        6.061K         4.881K        |   381   115.7      0    0.0   120.4 
        3.840K         4.881K        |   382   116.1      0    0.0   120.8 
        5.876K         4.881K        |   383   116.5      0    0.0   121.2 
        5.158K         4.881K        |   384   116.8      0    0.0   121.6 
        4.959K         4.881K        |   385   117.2      0    0.0   122.0 
        4.209K         4.881K        |   386   117.6      0    0.0   122.3 
        3.398K         4.881K        |   387   118.0      0    0.0   122.7 
        6.074K         4.881K        |   388   118.4      0    0.0   123.1 
        2.312K         4.881K        |   389   118.7      0    0.0   123.5 
        3.765K         4.881K        |   390   119.1      0    0.0   123.9 
        5.274K         4.881K        |   391   119.5      0    0.0   124.2 
        7.068K         4.881K        |   392   119.9      0    0.0   124.6 
        6.305K         4.881K        |   393   120.3      0    0.0   125.0 
        2.532K         4.881K        |   394   120.7      0    0.0   125.4 
        6.840K         4.880K        |   395   121.0      0    0.0   125.8 
        5.868K         4.880K        |   396   121.4      0    0.0   126.2 
        6.065K         4.880K        |   397   121.8      0    0.0   126.6 
        2.924K         4.880K        |   398   122.2      0    0.0   127.0 
        6.463K         4.880K        |   399   122.6      0    0.0   127.3 
        5.585K         4.880K        |   400   123.0      0    0.0   128.3 
        2.023K         4.880K        |   401   123.5      0    0.0   128.8 
        5.669K         4.880K        |   402   123.8      0    0.0   129.1 
        3.787K         4.880K        |   403   124.1      0    0.0   129.4 
        3.528K         4.880K        |   404   124.5      0    0.0   129.8 
        4.159K         4.880K        |   405   124.8      0    0.0   130.1 
        6.811K         4.880K        |   406   125.2      0    0.0   130.5 
        2.661K         4.880K        |   407   125.5      0    0.0   130.8 
        3.313K         4.880K        |   408   125.9      0    0.0   131.2 
        4.909K         4.880K        |   409   126.2      0    0.0   131.5 
        5.222K         4.879K        |   410   126.6      0    0.0   131.9 
        2.236K         4.879K        |   411   126.9      0    0.0   132.2 
        6.457K         4.879K        |   412   127.3      0    0.0   132.6 
        2.684K         4.879K        |   413   127.6      0    0.0   132.9 
        3.951K         4.879K        |   414   128.0      0    0.0   133.3 
        5.478K         4.879K        |   415   128.3      0    0.0   133.7 
        3.804K         4.879K        |   416   128.7      0    0.0   134.0 
        6.519K         4.879K        |   417   129.1      0    0.0   134.4 
        3.943K         4.879K        |   418   129.4      0    0.0   134.7 
        3.869K         4.879K        |   419   129.8      0    0.0   135.1 
        7.371K         4.879K        |   420   130.2      0    0.0   135.5 
        4.761K         4.879K        |   421   130.5      0    0.0   135.8 
        2.856K         4.879K        |   422   131.1      0    0.0   136.4 
        3.922K         4.879K        |   423   131.5      0    0.0   136.8 
        3.517K         4.879K        |   424   131.9      0    0.0   137.3 
        4.723K         4.879K        |   425   132.4      0    0.0   137.7 
        3.331K         4.879K        |   426   132.8      0    0.0   138.1 
        7.379K         4.879K        |   427   133.3      0    0.0   138.6 
        7.349K         4.879K        |   428   133.7      0    0.0   139.0 
        4.883K         4.879K        |   429   134.1      0    0.0   139.5 
        6.096K         4.879K        |   430   134.6      0    0.0   139.9 
        4.156K         4.879K        |   431   135.1      0    0.0   140.4 
        5.888K         4.879K        |   432   135.5      0    0.0   140.8 
        3.506K         4.879K        |   433   135.9      0    0.0   141.3 
        7.289K         4.879K        |   434   136.4      0    0.0   141.7 
        2.491K         4.879K        |   435   136.9      0    0.0   142.2 
        3.867K         4.879K        |   436   137.3      0    0.0   142.7 
        5.447K         4.879K        |   437   137.8      0    0.0   143.1 
        5.053K         4.879K        |   438   138.2      0    0.0   143.6 
        4.340K         4.879K        |   439   138.7      0    0.0   144.0 
        4.400K         4.879K        |   440   139.2      0    0.0   144.5 
