Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Wharawhara Water Stn,1567,B75581,-37.57227,175.86206,132,H,N/A
Tauranga Aero Aws,1615,B76624,-37.673,176.196,4,G,Metservice
Whakamarama,1617,B76701,-37.73206,176.00218,255,H,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.


Statistics codes in this query are:
Code,Description,Units
00,Total Rainfall,Mm
02,Mean Air Temperature,Celsius
17,Mean Daily Global Radiation,Mj/Sq M
35,Total Priestley-Taylor Potential Evapo-Transpiration,Mm
66,Mean Deficit Of Soil Moisture (Wbal Awc=150mm),Mm
Note: Statistics calculations are based on Local Time.
DAY OF EXTR gives the Local-Time day for a Monthly Extreme.
Stats: Monthly
Station,Mon-YYYY(local),Stat Code,Stat Value ,Day of Extr,
1567,Jan-2001,00,37.7,-,
1567,Jan-2001,66,120.2,-,
1567,Feb-2001,00,397.1,-,
1567,Feb-2001,66,37.9,-,
1567,Mar-2001,00,79.3,-,
1567,Mar-2001,66,25.4,-,
1567,Apr-2001,00,350.9,-,
1567,Apr-2001,66,8.3,-,
1567,May-2001,00,291.1,-,
1567,May-2001,66,1.6,-,
1567,Jun-2001,00,88.5,-,
1567,Jun-2001,66,1.8,-,
1567,Jul-2001,00,70.0,-,
1567,Jul-2001,66,3.0,-,
1567,Aug-2001,00,110.4,-,
1567,Aug-2001,66,2.9,-,
1567,Sep-2001,00,114.2,-,
1567,Sep-2001,66,8.8,-,
1567,Oct-2001,00,163.9,-,
1567,Oct-2001,66,9.3,-,
1567,Nov-2001,00,189.8,-,
1567,Nov-2001,66,17.5,-,
1567,Dec-2001,00,399.3,-,
1567,Dec-2001,66,5.3,-,
1567,Jan-2002,00,136.4,-,
1567,Jan-2002,66,19.2,-,
1567,Feb-2002,00,85.1,-,
1567,Feb-2002,66,64.1,-,
1567,Mar-2002,00,82.7,-,
1567,Mar-2002,66,82.6,-,
1567,Apr-2002,00,108.1,-,
1567,Apr-2002,66,71.9,-,
1567,May-2002,00,114.1,-,
1567,May-2002,66,19.1,-,
1567,Jun-2002,00,152.7,-,
1567,Jun-2002,66,3.3,-,
1567,Jul-2002,00,205.4,-,
1567,Jul-2002,66,3.6,-,
1567,Aug-2002,00,134.5,-,
1567,Aug-2002,66,3.1,-,
1567,Sep-2002,00,70.2,-,
1567,Sep-2002,66,15.9,-,
1567,Oct-2002,00,86.8,-,
1567,Oct-2002,66,28.0,-,
1567,Nov-2002,00,97.2,-,
1567,Nov-2002,66,16.2,-,
1567,Dec-2002,00,119.8,-,
1567,Dec-2002,66,28.5,-,
1567,Jan-2003,00,178.1,-,
1567,Jan-2003,66,46.5,-,
1567,Feb-2003,00,127.4,-,
1567,Feb-2003,66,98.4,-,
1567,Mar-2003,00,285.7,-,
1567,Mar-2003,66,5.4,-,
1567,Apr-2003,00,181.0,-,
1567,Apr-2003,66,6.7,-,
1567,May-2003,00,104.5,-,
1567,May-2003,66,2.7,-,
1567,Jun-2003,00,202.4,-,
1567,Jun-2003,66,1.7,-,
1567,Jul-2003,00,125.4,-,
1567,Jul-2003,66,3.7,-,
1567,Aug-2003,00,160.0,-,
1567,Aug-2003,66,2.3,-,
1567,Sep-2003,00,251.1,-,
1567,Sep-2003,66,2.7,-,
1567,Oct-2003,00,179.7,-,
1567,Oct-2003,66,9.2,-,
1567,Nov-2003,00,146.8,-,
1567,Nov-2003,66,17.5,-,
1567,Dec-2003,00,180.1,-,
1567,Dec-2003,66,9.7,-,
1567,Jan-2004,00,118.8,-,
1567,Jan-2004,66,60.4,-,
1567,Feb-2004,00,457.5,-,
1567,Feb-2004,66,4.3,-,
1567,Mar-2004,00,12.3,-,
1567,Mar-2004,66,38.2,-,
1567,Apr-2004,00,202.6,-,
1567,Apr-2004,66,84.7,-,
1567,May-2004,00,322.2,-,
1567,May-2004,66,1.2,-,
1567,Jun-2004,00,203.9,-,
1567,Jun-2004,66,1.0,-,
1567,Jul-2004,00,209.9,-,
1567,Jul-2004,66,0.8,-,
1567,Aug-2004,00,211.8,-,
1567,Aug-2004,66,2.5,-,
1567,Sep-2004,00,175.2,-,
1567,Sep-2004,66,3.7,-,
1567,Oct-2004,00,258.8,-,
1567,Oct-2004,66,4.3,-,
1567,Nov-2004,00,163.6,-,
1567,Nov-2004,66,11.8,-,
1567,Dec-2004,00,250.9,-,
1567,Dec-2004,66,6.4,-,
1567,Jan-2005,00,78.9,-,
1567,Jan-2005,66,31.0,-,
1567,Feb-2005,00,153.4,-,
1567,Feb-2005,66,24.8,-,
1567,Mar-2005,00,112.6,-,
1567,Mar-2005,66,74.4,-,
1567,Apr-2005,00,25.5,-,
1567,Apr-2005,66,41.1,-,
1567,May-2005,00,291.6,-,
1567,May-2005,66,6.2,-,
1567,Jun-2005,00,215.8,-,
1567,Jun-2005,66,1.4,-,
1567,Jul-2005,00,342.6,-,
1567,Jul-2005,66,1.5,-,
1567,Aug-2005,00,146.2,-,
1567,Aug-2005,66,2.5,-,
1567,Sep-2005,00,196.6,-,
1567,Sep-2005,66,6.0,-,
1567,Oct-2005,00,317.3,-,
