"year","week","rainfall","evapotranspiration"
2015,15,25.733333333333334,13.200000000000001
2016,15,5.700000000000001,11.9
2017,15,193.0,10.6
1997,16,25.633333333333333,9.8
1998,16,8.266666666666667,12.7
1999,16,6.199999999999999,10.1
2000,16,81.43333333333334,10.4
2001,16,3.666666666666667,9.599999999999998
2002,16,0.06666666666666667,11.899999999999999
2003,16,19.03333333333333,12.700000000000001
2004,16,0.3333333333333333,11.2
2005,16,2.3333333333333335,9.8
2006,16,32.2,9.6
2007,16,5.333333333333333,10.799999999999999
2008,16,170.96666666666664,8.2
2009,16,0.13333333333333333,12.6
2011,16,13.766666666666667,9.200000000000001
2012,16,0.0,12.399999999999999
2013,16,228.5,8.299999999999999
2014,16,126.23333333333333,8.299999999999999
2015,16,90.0,9.0
2016,16,74.53333333333333,10.2
2017,16,12.933333333333332,13.0
1997,17,7.6000000000000005,8.5
1998,17,59.1,7.2
1999,17,115.9,5.7
2000,17,22.099999999999998,8.299999999999999
2001,17,4.333333333333334,9.8
2002,17,98.46666666666667,7.9
2003,17,59.199999999999996,9.2
2004,17,1.0666666666666667,10.1
2005,17,2.1666666666666665,8.5
2006,17,142.3,8.1
2007,17,45.666666666666664,9.0
2008,17,18.866666666666667,6.6
2009,17,78.73333333333333,6.0
2011,17,133.63333333333335,6.1
2012,17,25.866666666666667,9.6
2013,17,22.666666666666668,9.499999999999998
2014,17,6.833333333333333,10.6
2015,17,9.866666666666667,10.799999999999999
2016,17,0.26666666666666666,8.700000000000001
2017,17,18.46666666666667,9.4
1997,18,0.4,8.500000000000002
1998,18,10.1,8.5
1999,18,0.9333333333333333,5.6000000000000005
2000,18,0.19999999999999998,7.6000000000000005
2001,18,169.16666666666666,6.3999999999999995
2002,18,7.133333333333333,8.4
2003,18,28.766666666666666,6.9
2004,18,274.5,5.0
2005,18,111.4,6.5
2006,18,49.53333333333333,7.5
2007,18,73.33333333333334,7.9
2008,18,119.5,6.700000000000001
2009,18,39.63333333333334,7.7
2011,18,106.83333333333333,7.6
2012,18,0.0,7.299999999999999
2013,18,33.96666666666666,9.3
2014,18,14.566666666666666,9.399999999999999
2015,18,44.800000000000004,7.500000000000001
2016,18,4.4,8.100000000000001
2017,18,8.0,8.4
1997,19,0.2,6.800000000000001
1998,19,55.966666666666654,5.6
1999,19,14.4,5.0
2000,19,70.73333333333333,4.1
2001,19,70.80000000000001,6.8
2002,19,1.1666666666666667,6.2
2003,19,0.4666666666666666,6.6
2004,19,22.233333333333334,7.0
2005,19,1.2666666666666666,5.6
2006,19,19.900000000000002,5.1
2007,19,1.8333333333333333,6.699999999999999
2008,19,129.03333333333333,4.5
2009,19,20.53333333333333,5.7
2011,19,37.5,6.799999999999999
2012,19,79.93333333333334,6.6
2013,19,51.3,5.499999999999999
2014,19,24.0,7.4
2015,19,31.5,6.9
2016,19,8.133333333333333,6.3
2017,19,79.73333333333333,5.5
1997,20,15.6,3.7
1998,20,10.533333333333333,3.9999999999999996
1999,20,18.7,4.5
2000,20,12.666666666666666,4.3
2001,20,5.2,5.0
2002,20,0.7333333333333334,3.9000000000000004
2003,20,9.4,5.2
2004,20,110.96666666666667,4.7
2005,20,309.93333333333334,2.9999999999999996
2006,20,9.533333333333335,4.1000000000000005
2007,20,2.5,5.3
2008,20,1.3333333333333333,5.300000000000001
2009,20,39.199999999999996,4.6000000000000005
2011,20,7.466666666666667,4.9
2012,20,30.433333333333334,4.2
2013,20,37.96666666666666,5.199999999999999
2014,20,10.866666666666667,6.000000000000001
2015,20,31.666666666666668,5.3
2016,20,38.46666666666667,4.7
2017,20,34.599999999999994,4.1000000000000005
1997,21,134.0,3.1
1998,21,51.39999999999999,3.8
1999,21,0.7666666666666666,3.4
2000,21,1.4,3.8000000000000003
2001,21,20.36666666666667,3.1
2002,21,53.266666666666666,2.9
2003,21,71.36666666666667,3.5
2004,21,37.8,3.9000000000000004
2005,21,54.4,3.5999999999999996
2006,21,102.96666666666668,3.1000000000000005
2007,21,26.400000000000002,3.7
2008,21,3.566666666666667,3.5
2009,21,12.5,3.5
2011,21,87.16666666666667,4.4
2012,21,23.333333333333336,3.8
2013,21,58.53333333333333,3.8000000000000003
2014,21,18.666666666666664,4.8
2015,21,48.2,3.9999999999999996
2016,21,46.03333333333333,3.0999999999999996
2017,21,70.10000000000001,2.8000000000000003
1997,22,31.799999999999997,2.8
1998,22,11.233333333333334,3.4999999999999996
1999,22,62.13333333333333,2.0
2000,22,104.2,2.0
2001,22,26.733333333333334,1.7000000000000002
2002,22,45.900000000000006,2.7
2003,22,0.8333333333333333,3.4999999999999996
2004,22,66.86666666666667,2.9000000000000004
2005,22,68.13333333333333,2.5
2006,22,33.800000000000004,3.0999999999999996
2007,22,5.6000000000000005,3.0
2008,22,0.4666666666666666,2.6999999999999997
2009,22,19.266666666666666,2.4
2011,22,28.233333333333334,2.6
