--------------------------------------------------------------------------------
                      SDDP Solver. © Oscar Dowson, 2017.
--------------------------------------------------------------------------------
    Solver:
        Serial solver
    Model:
        Stages:         52
        States:         5
        Subproblems:    110
        Value Function: Default
--------------------------------------------------------------------------------
              Objective              |  Cut  Passes    Simulations   Total    
     Simulation       Bound   % Gap  |   #     Time     #    Time    Time     
--------------------------------------------------------------------------------
        6.730K         6.756K        |   323   176.3      0    0.0   176.9 
        5.267K         6.756K        |   324   177.2      0    0.0   177.8 
        8.250K         6.756K        |   325   178.1      0    0.0   178.7 
        6.933K         6.756K        |   326   179.1      0    0.0   179.7 
        5.406K         6.756K        |   327   180.0      0    0.0   180.6 
        9.348K         6.756K        |   328   180.9      0    0.0   181.5 
        6.819K         6.756K        |   329   181.7      0    0.0   182.3 
        3.958K         6.756K        |   330   182.7      0    0.0   183.2 
        6.972K         6.755K        |   331   183.5      0    0.0   184.1 
        9.159K         6.755K        |   332   184.2      0    0.0   184.8 
        6.823K         6.755K        |   333   185.0      0    0.0   185.6 
        5.496K         6.755K        |   334   185.8      0    0.0   186.4 
        7.894K         6.755K        |   335   186.6      0    0.0   187.2 
        9.342K         6.755K        |   336   187.4      0    0.0   188.0 
        6.896K         6.755K        |   337   188.1      0    0.0   188.7 
        5.408K         6.755K        |   338   188.9      0    0.0   189.5 
        6.735K         6.755K        |   339   189.6      0    0.0   190.3 
        5.464K         6.755K        |   340   190.4      0    0.0   191.1 
        7.097K         6.755K        |   341   191.2      0    0.0   191.8 
        6.516K         6.755K        |   342   192.0      0    0.0   192.6 
        4.121K         6.755K        |   343   192.7      0    0.0   193.3 
        6.513K         6.755K        |   344   193.5      0    0.0   194.1 
        7.831K         6.755K        |   345   194.2      0    0.0   194.8 
        6.667K         6.755K        |   346   195.0      0    0.0   195.6 
        6.494K         6.755K        |   347   195.8      0    0.0   196.4 
        7.954K         6.755K        |   348   196.6      0    0.0   197.2 
        6.905K         6.755K        |   349   197.4      0    0.0   198.0 
        6.782K         6.755K        |   350   198.2      0    0.0   198.8 
        5.272K         6.755K        |   351   199.0      0    0.0   199.6 
        4.145K         6.755K        |   352   199.8      0    0.0   200.5 
        6.408K         6.755K        |   353   200.6      0    0.0   201.2 
        6.929K         6.755K        |   354   201.4      0    0.0   202.0 
        5.350K         6.755K        |   355   202.2      0    0.0   202.8 
        6.298K         6.755K        |   356   203.0      0    0.0   203.6 
        7.006K         6.755K        |   357   203.7      0    0.0   204.4 
        6.879K         6.755K        |   358   204.5      0    0.0   205.2 
        6.583K         6.755K        |   359   205.3      0    0.0   206.0 
        6.187K         6.755K        |   360   206.1      0    0.0   206.7 
        5.686K         6.755K        |   361   206.9      0    0.0   207.5 
        5.420K         6.755K        |   362   207.7      0    0.0   208.3 
        5.670K         6.755K        |   363   208.4      0    0.0   209.1 
        9.310K         6.755K        |   364   209.2      0    0.0   209.9 
        6.505K         6.755K        |   365   210.0      0    0.0   210.7 
        8.445K         6.755K        |   366   210.8      0    0.0   211.5 
        8.308K         6.755K        |   367   211.6      0    0.0   212.3 
        6.697K         6.755K        |   368   212.4      0    0.0   213.1 
        8.351K         6.755K        |   369   213.2      0    0.0   213.9 
        4.145K         6.755K        |   370   214.0      0    0.0   214.7 
        5.483K         6.755K        |   371   214.9      0    0.0   215.5 
        6.974K         6.755K        |   372   215.7      0    0.0   216.3 
        9.618K         6.755K        |   373   216.5      0    0.0   217.2 
        7.510K         6.755K        |   374   217.4      0    0.0   218.0 
        6.827K         6.755K        |   375   218.3      0    0.0   218.9 
        6.465K         6.755K        |   376   219.1      0    0.0   219.8 
        8.138K         6.755K        |   377   219.9      0    0.0   220.6 
        4.281K         6.755K        |   378   220.7      0    0.0   221.4 
        7.622K         6.755K        |   379   221.7      0    0.0   222.3 
        8.025K         6.755K        |   380   222.5      0    0.0   223.2 
        8.400K         6.755K        |   381   223.3      0    0.0   224.0 
        9.376K         6.755K        |   382   224.2      0    0.0   224.8 
        8.213K         6.755K        |   383   225.1      0    0.0   225.7 
        6.834K         6.755K        |   384   225.9      0    0.0   226.6 
        8.121K         6.755K        |   385   226.8      0    0.0   227.4 
        6.889K         6.755K        |   386   227.6      0    0.0   228.3 
        8.212K         6.755K        |   387   228.5      0    0.0   229.2 
        8.146K         6.755K        |   388   229.4      0    0.0   230.0 
        6.715K         6.755K        |   389   230.2      0    0.0   230.8 
        9.197K         6.755K        |   390   231.1      0    0.0   231.7 
        9.293K         6.755K        |   391   231.9      0    0.0   232.6 
        6.803K         6.755K        |   392   232.7      0    0.0   233.4 
        9.439K         6.755K        |   393   233.6      0    0.0   234.3 
        7.601K         6.755K        |   394   234.4      0    0.0   235.1 
        8.533K         6.755K        |   395   235.3      0    0.0   236.0 
        8.022K         6.755K        |   396   236.2      0    0.0   236.9 
        6.696K         6.755K        |   397   237.1      0    0.0   237.7 
        5.455K         6.755K        |   398   237.9      0    0.0   238.6 
        6.405K         6.755K        |   399   238.8      0    0.0   239.5 
        8.340K         6.755K        |   400   239.6      0    0.0   240.3 
        7.938K         6.755K        |   401   240.5      0    0.0   241.2 
        6.591K         6.755K        |   402   241.3      0    0.0   242.0 
        8.861K         6.755K        |   403   242.2      0    0.0   242.9 
        8.115K         6.755K        |   404   243.1      0    0.0   243.8 
        7.896K         6.755K        |   405   243.9      0    0.0   244.6 
        4.145K         6.755K        |   406   244.8      0    0.0   245.5 
        6.792K         6.755K        |   407   245.7      0    0.0   246.4 
        6.770K         6.755K        |   408   246.5      0    0.0   247.2 
        6.821K         6.755K        |   409   247.4      0    0.0   248.1 
        5.461K         6.755K        |   410   248.2      0    0.0   248.9 
        6.657K         6.755K        |   411   249.1      0    0.0   249.8 
        5.605K         6.755K        |   412   250.0      0    0.0   250.7 
        6.864K         6.755K        |   413   250.8      0    0.0   251.6 
        5.487K         6.755K        |   414   251.7      0    0.0   252.5 
        6.948K         6.755K        |   415   252.7      0    0.0   253.4 
        6.792K         6.755K        |   416   253.6      0    0.0   254.3 
        5.409K         6.755K        |   417   254.5      0    0.0   255.2 
        6.820K         6.755K        |   418   255.4      0    0.0   256.1 
        7.820K         6.755K        |   419   256.4      0    0.0   257.1 
        6.431K         6.755K        |   420   257.3      0    0.0   258.0 
        4.012K         6.755K        |   421   258.4      0    0.0   259.1 
        5.664K         6.755K        |   422   259.3      0    0.0   260.0 
        6.579K         6.755K        |   423   260.2      0    0.0   260.9 
        5.583K         6.755K        |   424   261.1      0    0.0   261.9 
        5.301K         6.755K        |   425   262.1      0    0.0   262.8 
        6.722K         6.755K        |   426   263.0      0    0.0   263.8 
        9.877K         6.755K        |   427   264.0      0    0.0   264.8 
        4.280K         6.755K        |   428   265.0      0    0.0   265.7 
        8.268K         6.755K        |   429   265.9      0    0.0   266.6 
        6.665K         6.755K        |   430   266.8      0    0.0   267.6 
        6.381K         6.755K        |   431   267.7      0    0.0   268.5 
        9.305K         6.755K        |   432   268.7      0    0.0   269.4 
        6.950K         6.755K        |   433   269.6      0    0.0   270.4 
        4.297K         6.755K        |   434   270.7      0    0.0   271.4 
        7.790K         6.755K        |   435   271.7      0    0.0   272.4 
        9.313K         6.755K        |   436   272.6      0    0.0   273.4 
        7.982K         6.755K        |   437   273.6      0    0.0   274.3 
        6.798K         6.755K        |   438   274.5      0    0.0   275.3 
        6.598K         6.755K        |   439   275.5      0    0.0   276.3 
        5.712K         6.755K        |   440   276.5      0    0.0   277.3 
